name,time,blockused,fileset
quota,1555039612000000000,9437184,ces
quota,1555039612000000000,1792,nfsroot
quota,1555039612000000000,24546497536,home
quota,1555039612000000000,306184869760,project
quota,1555039612000000000,27721984,sui
quota,1555039612000000000,0,dedicated
quota,1555039612000000000,424661120,jhome
quota,1555039612000000000,0,lsp
quota,1555039612000000000,174096640,root
quota,1555039612000000000,3749353088,backups_lsst-dev-db
quota,1555082813000000000,174191232,root
quota,1555082813000000000,3749353088,backups_lsst-dev-db
quota,1555082813000000000,9437184,ces
quota,1555082813000000000,167640747648,objects
quota,1555082813000000000,14908375168,backups_lsst-db
quota,1555082813000000000,79164451968,backups_system
quota,1555082813000000000,1275937684096,datasets
quota,1555082813000000000,175182579840,scratch
quota,1555082813000000000,12034831616,backups
quota,1555082813000000000,57217957888,dr
quota,1555082813000000000,1915608960,software
quota,1555082813000000000,26785920,kubernetes
quota,1555082813000000000,0,qserv
quota,1555082813000000000,0,lsp
quota,1555082813000000000,308052161024,project
quota,1555082813000000000,1792,nfsroot
quota,1555082813000000000,24548599040,home
quota,1555082813000000000,425250432,jhome
quota,1555082813000000000,27724672,sui
quota,1555082813000000000,0,dedicated
quota,1555126013000000000,27724672,sui
quota,1555126013000000000,0,dedicated
quota,1555126013000000000,1915608960,software
quota,1555126013000000000,1275937684096,datasets
quota,1555126013000000000,9437184,ces
quota,1555126013000000000,174191232,root
quota,1555126013000000000,3749353088,backups_lsst-dev-db
quota,1555126013000000000,79164451968,backups_system
quota,1555126013000000000,167640747648,objects
quota,1555126013000000000,14908375168,backups_lsst-db
quota,1555126013000000000,57217957888,dr
quota,1555126013000000000,175182579840,scratch
quota,1555126013000000000,12034831616,backups
quota,1555126013000000000,425250432,jhome
quota,1555126013000000000,0,lsp
quota,1555126013000000000,26785920,kubernetes
quota,1555126013000000000,0,qserv
quota,1555126013000000000,24548599040,home
quota,1555126013000000000,308052161024,project
quota,1555126013000000000,1792,nfsroot
quota,1555169213000000000,309856476544,project
quota,1555169213000000000,1792,nfsroot
quota,1555169213000000000,57225162624,dr
quota,1555169213000000000,3749353088,backups_lsst-dev-db
quota,1555169213000000000,1923000832,software
quota,1555169213000000000,27724672,sui
quota,1555169213000000000,0,dedicated
quota,1555169213000000000,174202752,root
quota,1555169213000000000,1279111474688,datasets
quota,1555169213000000000,9437184,ces
quota,1555169213000000000,14908632832,backups_lsst-db
quota,1555169213000000000,79736607616,backups_system
quota,1555169213000000000,167640747648,objects
quota,1555169213000000000,24554373760,home
quota,1555169213000000000,422711040,jhome
quota,1555169213000000000,175332468608,scratch
quota,1555169213000000000,12034831616,backups
quota,1555169213000000000,0,qserv
quota,1555169213000000000,0,lsp
quota,1555169213000000000,26786176,kubernetes
quota,1555212412000000000,0,lsp
quota,1555212412000000000,26786176,kubernetes
quota,1555212412000000000,14908632832,backups_lsst-db
quota,1555212412000000000,0,dedicated
quota,1555212412000000000,57225162624,dr
quota,1555212412000000000,309856476544,project
quota,1555212412000000000,1792,nfsroot
quota,1555212412000000000,27724672,sui
quota,1555212412000000000,3749353088,backups_lsst-dev-db
quota,1555212412000000000,1923000832,software
quota,1555212412000000000,9437184,ces
quota,1555212412000000000,174202752,root
quota,1555212412000000000,1279111474688,datasets
quota,1555212412000000000,0,qserv
quota,1555212412000000000,24554373760,home
quota,1555212412000000000,79736607616,backups_system
quota,1555212412000000000,167640747648,objects
quota,1555212412000000000,12034831616,backups
quota,1555212412000000000,422711040,jhome
quota,1555212412000000000,175332468608,scratch
quota,1555255613000000000,420157952,jhome
quota,1555255613000000000,175332468608,scratch
quota,1555255613000000000,57232289792,dr
quota,1555255613000000000,0,dedicated
quota,1555255613000000000,26786176,kubernetes
quota,1555255613000000000,0,lsp
quota,1555255613000000000,79736607616,backups_system
quota,1555255613000000000,24554398592,home
quota,1555255613000000000,1279111486336,datasets
quota,1555255613000000000,174206720,root
quota,1555255613000000000,3749353088,backups_lsst-dev-db
quota,1555255613000000000,27724672,sui
quota,1555255613000000000,309994516608,project
quota,1555255613000000000,14910778752,backups_lsst-db
quota,1555255613000000000,167640747648,objects
quota,1555255613000000000,0,qserv
quota,1555255613000000000,1931038976,software
quota,1555255613000000000,1792,nfsroot
quota,1555255613000000000,12034831616,backups
quota,1555255613000000000,9437184,ces
quota,1555298812000000000,12034831616,backups
quota,1555298812000000000,27724672,sui
quota,1555298812000000000,14910778752,backups_lsst-db
quota,1555298812000000000,79736607616,backups_system
quota,1555298812000000000,57232289792,dr
quota,1555298812000000000,0,qserv
quota,1555298812000000000,174206720,root
quota,1555298812000000000,24554398592,home
quota,1555298812000000000,175332468608,scratch
quota,1555298812000000000,1931038976,software
quota,1555298812000000000,9437184,ces
quota,1555298812000000000,420157952,jhome
quota,1555298812000000000,26786176,kubernetes
quota,1555298812000000000,3749353088,backups_lsst-dev-db
quota,1555298812000000000,1279111486336,datasets
quota,1555298812000000000,0,lsp
quota,1555298812000000000,1792,nfsroot
quota,1555298812000000000,0,dedicated
quota,1555298812000000000,167640747648,objects
quota,1555298812000000000,309994516608,project
quota,1555342013000000000,167640747648,objects
quota,1555342013000000000,309996351232,project
quota,1555342013000000000,9437184,ces
quota,1555342013000000000,174210688,root
quota,1555342013000000000,14911093376,backups_lsst-db
quota,1555342013000000000,12034831616,backups
quota,1555342013000000000,27724672,sui
quota,1555342013000000000,0,qserv
quota,1555342013000000000,79736607616,backups_system
quota,1555342013000000000,57239996416,dr
quota,1555342013000000000,1931100800,software
quota,1555342013000000000,24555960192,home
quota,1555342013000000000,175332468608,scratch
quota,1555342013000000000,0,dedicated
quota,1555342013000000000,3749353088,backups_lsst-dev-db
quota,1555342013000000000,420162944,jhome
quota,1555342013000000000,26786688,kubernetes
quota,1555342013000000000,1792,nfsroot
quota,1555342013000000000,1279111496832,datasets
quota,1555342013000000000,0,lsp
quota,1555385212000000000,1279111496832,datasets
quota,1555385212000000000,0,lsp
quota,1555385212000000000,1931100800,software
quota,1555385212000000000,27724672,sui
quota,1555385212000000000,9437184,ces
quota,1555385212000000000,167640747648,objects
quota,1555385212000000000,309996351232,project
quota,1555385212000000000,12034831616,backups
quota,1555385212000000000,174210688,root
quota,1555385212000000000,14911093376,backups_lsst-db
quota,1555385212000000000,57239996416,dr
quota,1555385212000000000,0,qserv
quota,1555385212000000000,79736607616,backups_system
quota,1555385212000000000,1792,nfsroot
quota,1555385212000000000,0,dedicated
quota,1555385212000000000,24555960192,home
quota,1555385212000000000,175332468608,scratch
quota,1555385212000000000,26786688,kubernetes
quota,1555385212000000000,3749353088,backups_lsst-dev-db
quota,1555385212000000000,420162944,jhome
quota,1555428413000000000,3749353088,backups_lsst-dev-db
quota,1555428413000000000,420566400,jhome
quota,1555428413000000000,57246701056,dr
quota,1555428413000000000,310127273216,project
quota,1555428413000000000,1931100800,software
quota,1555428413000000000,1279111503744,datasets
quota,1555428413000000000,0,lsp
quota,1555428413000000000,167640747648,objects
quota,1555428413000000000,27762560,sui
quota,1555428413000000000,9437184,ces
quota,1555428413000000000,14909060480,backups_lsst-db
quota,1555428413000000000,12034831616,backups
quota,1555428413000000000,174213504,root
quota,1555428413000000000,26787072,kubernetes
